longitude,latitude
37.65588,55.74909
37.65589,55.74918
37.65589,55.7494
37.65589,55.74948
37.65592,55.74973
37.65593,55.74979
37.65595,55.74988
37.65595,55.7499
37.65596,55.74994
37.65598,55.75003
37.656,55.75011
37.65602,55.75028
37.65605,55.75046
37.65604,55.7508
37.65609,55.75129
37.65614,55.7518
37.65615,55.75204
37.65617,55.75211
37.6562,55.75227
37.65624,55.75241
37.65626,55.75252
37.65629,55.75262
37.65633,55.7527
37.65639,55.75287
37.65646,55.75304
37.65661,55.75338
37.65671,55.75359
37.65676,55.75369
37.65696,55.75431
37.65709,55.75464
37.65713,55.75472
37.65716,55.75481
37.65717,55.75484
37.65719,55.7549
37.65722,55.75507
37.65727,55.75524
37.65733,55.75543
37.65741,55.75562
37.65748,55.75579
37.65756,55.75599
37.65776,55.7567
37.65781,55.75736
37.65783,55.758
37.65783,55.75834
37.65783,55.75847
37.65782,55.75872
37.65777,55.75931
37.65777,55.7594
37.65771,55.7601
37.65763,55.76104
37.65757,55.76141
37.6575,55.76167
37.65742,55.76202
37.65715,55.76278
37.657,55.76311
37.65697,55.76319
37.65689,55.76334
37.6568,55.76355
37.65676,55.76362
37.65664,55.76382
37.65654,55.76396
37.65642,55.7641
37.65631,55.76419
37.65575,55.76457
37.65569,55.7646
37.6553,55.76489
37.65477,55.76527
37.65434,55.76557
37.65339,55.76623
37.6523,55.76699
37.65191,55.76726
37.65093,55.76797
37.65073,55.7681
37.65064,55.76816
37.65033,55.76836
37.65013,55.7685
37.65,55.76859
37.64996,55.76861
37.64977,55.76871
37.64974,55.76873
37.64967,55.76876
37.64954,55.7688
37.6494,55.76884
37.64927,55.76887
37.6484,55.7691
37.64801,55.76922
37.64732,55.7694
37.64624,55.76966
37.64599,55.7697
37.64578,55.76974
37.64449,55.77012
37.64408,55.77025
37.64387,55.77032
37.64364,55.77039
37.64345,55.77045
37.64334,55.77049
37.64245,55.77074
37.6422,55.77084
37.64207,55.77088
37.64164,55.77102
37.64037,55.77144
37.63975,55.77165
37.63937,55.77176
37.63928,55.77179
37.639,55.77188
37.63883,55.77193
37.63871,55.77196
37.63845,55.772
37.63731,55.77221
37.63678,55.77231
37.63634,55.77237
37.63507,55.77251
37.63407,55.77262
37.63359,55.77267
37.63337,55.7727
37.63302,55.77274
37.6329,55.77276
37.63245,55.77287
37.63225,55.77288
37.63145,55.77298
37.6305,55.77313
37.63002,55.7732
37.62955,55.77326
37.62918,55.77331
37.6287,55.77337
37.62824,55.77345
37.62786,55.7735
37.6274,55.77356
37.62711,55.77358
37.62681,55.7736
37.62637,55.77362
37.62598,55.77364
37.62586,55.77365
37.62554,55.77367
37.62505,55.7737
37.62452,55.77372
37.62404,55.77374
37.62343,55.77376
37.62319,55.77377
37.62263,55.77378
37.62207,55.77379
37.62172,55.77379
37.62109,55.77379
37.62035,55.77377
37.61951,55.77374
37.61944,55.77374
37.61829,55.77369
37.61754,55.77366
37.61662,55.77362
37.61658,55.77362
37.61572,55.77359
37.615,55.77356
37.61486,55.77356
37.61471,55.77356
37.61457,55.77356
37.61449,55.77356
37.61441,55.77357
37.61416,55.77359
37.61381,55.77358
37.61368,55.77358
37.61343,55.77357
37.61096,55.77345
37.61079,55.77343
37.60895,55.77324
37.60877,55.77321
37.60841,55.77317
37.60817,55.77314
37.60769,55.77308
37.60708,55.77299
37.60672,55.77294
37.60592,55.77282
37.60564,55.77277
37.6054,55.77273
37.60467,55.77259
37.60444,55.77254
37.60434,55.77252
37.60341,55.77223
37.60316,55.77215
37.60293,55.77209
37.60288,55.77207
37.60269,55.77201
37.60226,55.77189
37.60074,55.77144
37.60036,55.77133
37.60003,55.77121
37.59937,55.77097
37.59924,55.77092
37.59897,55.77082
37.59859,55.77068
37.59841,55.77061
37.59768,55.77029
37.59671,55.76982
37.59647,55.76971
37.59645,55.7697
37.59527,55.76907
37.59488,55.76883
37.59461,55.76868
37.59442,55.76856
37.59431,55.76849
37.5942,55.76842
37.59378,55.76816
37.59344,55.76793
37.59328,55.76782
37.59287,55.76754
37.59248,55.76725
37.59203,55.76693
37.59161,55.76665
37.59099,55.7662
37.59073,55.76603
37.59062,55.76595
37.59044,55.76582
37.59034,55.76575
37.59019,55.76565
37.59006,55.76556
37.59001,55.76552
37.58991,55.76544
37.58983,55.76539
37.58964,55.76525
37.58947,55.76512
37.58941,55.76507
37.5894,55.76506
37.58933,55.765
37.58932,55.76499
37.58925,55.76494
37.58916,55.76487
37.5891,55.76482
37.58903,55.76476
37.58897,55.76471
37.58892,55.76466
37.58888,55.76463
37.58883,55.76459
37.58879,55.76455
37.58873,55.76449
37.58867,55.76443
37.58865,55.76442
37.58861,55.76435
37.58853,55.76426
37.58847,55.7642
37.58838,55.76411
37.58813,55.7642
37.5881,55.76416
37.58798,55.76405
37.58785,55.76392
37.58783,55.7639
37.58778,55.76386
37.58771,55.76377
37.58769,55.76375
37.68349,55.77542
37.68305,55.77576
37.68213,55.77638
37.68182,55.7766
37.68173,55.77666
37.6816,55.77675
37.68115,55.77698
37.68102,55.77704
37.68093,55.77707
37.68088,55.77708
37.68072,55.7771
37.68061,55.77711
37.68017,55.77731
37.68002,55.77738
37.67976,55.77749
37.67963,55.77754
37.67936,55.77765
37.67913,55.77773
37.67861,55.7779
37.67794,55.77813
37.67716,55.7784
37.67681,55.77852
37.67627,55.77871
37.67573,55.7789
37.67558,55.77897
37.67434,55.77941
37.67392,55.77956
37.67278,55.78
37.67215,55.78028
37.67172,55.78047
37.67102,55.7808
37.67067,55.78097
37.67043,55.78109
37.67019,55.78121
37.66995,55.78133
37.66964,55.78148
37.66858,55.78203
37.66795,55.78237
37.66725,55.78279
37.66677,55.7831
37.66613,55.78354
37.66537,55.78411
37.6645,55.78478
37.66344,55.78562
37.66326,55.78575
37.6632,55.7858
37.66244,55.78638
37.66208,55.78666
37.6618,55.78688
37.66102,55.78746
37.66024,55.78804
37.65924,55.7888
37.65895,55.78904
37.65724,55.79034
37.65702,55.79054
37.65666,55.79081
37.65624,55.79115
37.65597,55.79133
37.65534,55.7918
37.65482,55.79221
37.65459,55.79238
37.65428,55.79255
37.65395,55.79271
37.65361,55.79286
37.65351,55.79291
37.65305,55.79309
37.65257,55.79325
37.65205,55.79341
37.65122,55.79362
37.65057,55.79373
37.65003,55.79379
37.64934,55.79385
37.64877,55.79388
37.6482,55.7939
37.64804,55.7939
37.64782,55.79389
37.64767,55.79389
37.64752,55.79388
37.6473,55.79387
37.64714,55.79386
37.64698,55.79385
37.64673,55.79382
37.6464,55.79378
37.64612,55.79373
37.64598,55.79371
37.64575,55.79367
37.64524,55.79357
37.64486,55.79349
37.64455,55.79343
37.64424,55.79337
37.64271,55.79306
37.64146,55.7928
37.64075,55.79265
37.6404,55.79259
37.64005,55.79252
37.63963,55.79244
37.63922,55.79236
37.63896,55.79231
37.6387,55.79226
37.63831,55.7922
37.6381,55.79217
37.63794,55.79214
37.63775,55.79212
37.63758,55.7921
37.63716,55.79207
37.63563,55.79202
37.63499,55.79201
37.63452,55.79198
37.63405,55.79196
37.6336,55.79194
37.63332,55.79194
37.63275,55.79195
37.63243,55.79196
37.63215,55.79198
37.63201,55.79199
37.63188,55.792
37.63172,55.79201
37.63153,55.79203
37.63144,55.79204
37.63134,55.79206
37.63112,55.79209
37.6309,55.79212
37.63035,55.79222
37.62968,55.79234
37.62923,55.79242
37.62901,55.79247
37.62866,55.79253
37.62846,55.79255
37.62828,55.79258
37.62816,55.79259
37.62781,55.79262
37.62779,55.79262
37.62728,55.79266
37.62663,55.7927
37.62588,55.79274
37.62522,55.79278
37.62473,55.7928
37.62418,55.79283
37.62403,55.79283
37.62378,55.79285
37.62357,55.79286
37.62343,55.79286
37.62318,55.79287
37.62295,55.79288
37.62233,55.79291
37.62195,55.79292
37.62113,55.79296
37.62062,55.793
37.62046,55.79301
37.61954,55.79307
37.61903,55.7931
37.61844,55.79313
37.61702,55.79318
37.6157,55.7932
37.61499,55.7932
37.61451,55.79319
37.61392,55.79318
37.61293,55.79316
37.6107,55.79307
37.61062,55.79307
37.61038,55.79306
37.61006,55.79304
37.60671,55.79291
37.60611,55.79288
37.60545,55.79285
37.60521,55.79284
37.60475,55.79283
37.60449,55.79282
37.60309,55.79277
37.60238,55.79275
37.60194,55.79273
37.60162,55.79271
37.60098,55.79269
37.60038,55.79266
37.59995,55.79263
37.59929,55.79257
37.59894,55.79254
37.59685,55.79236
37.59608,55.7923
37.59602,55.7923
37.5954,55.79227
37.5952,55.79228
37.59455,55.79224
37.59444,55.79224
37.59414,55.79224
37.59311,55.79223
37.59305,55.79223
37.59273,55.79224
37.591,55.79224
37.59017,55.79224
37.58985,55.79225
37.58889,55.79225
37.5884,55.79225
37.58793,55.79225
37.58636,55.79224
37.58527,55.79222
37.58494,55.79222
37.5848,55.79222
37.58453,55.79223
37.58422,55.79224
37.58408,55.79224
37.58355,55.79227
37.58303,55.79233
37.58281,55.79232
37.58238,55.79229
37.58224,55.79228
37.57979,55.79211
37.57911,55.79208
37.57771,55.79199
37.57737,55.79197
37.57592,55.7919
37.57574,55.79189
37.57566,55.79189
37.57551,55.79188
37.57541,55.79188
37.57535,55.79187
37.57519,55.79186
37.57508,55.79184
37.57495,55.79183
37.57484,55.79181
37.57474,55.79178
37.5746,55.79175
37.57447,55.79171
37.57434,55.79167
37.57423,55.79163
37.57413,55.79159
37.57399,55.79152
37.57388,55.79146
37.57378,55.7914
37.57369,55.79133
37.57341,55.79113
37.57304,55.79087
37.57287,55.79075
37.57155,55.78974
37.57058,55.78913
37.57044,55.78904
37.57002,55.78871
37.56953,55.78835
37.56911,55.78806
37.56844,55.78761
37.56808,55.78737
37.56784,55.78722
37.56747,55.78695
37.56709,55.78667
37.56677,55.78643
37.56649,55.78623
37.56624,55.78604
