latitude,longitude
55.81752875665036,37.58221212443575
55.81341654601842,37.56885708303917
55.81187068202134,37.714835787274055
55.82552284330375,37.94354401055821
55.55776526653631,37.42217173922777
55.627996301573496,37.606721033932686
55.67148811478252,37.523637657416536
55.70478963700143,37.49043311962528
55.71814842400707,37.4644055547494
55.720410087194,37.56920975924022
55.72554153792173,37.56393109160612
55.75112200113612,37.52410384934833
55.73278270000887,37.590820444541144
55.767522981642266,37.56934938848007
55.77275642333733,37.582347010272116
55.76061077221228,37.60504746823354
55.75958962029073,37.61468374802998
55.755041011448796,37.64610637890339
55.75860585950479,37.64451157052384
55.75115969899929,37.417805300966776
55.79982579074797,37.20985378231238
55.66813795963364,37.285968433175235
55.718305343322044,37.39409627682196
55.7415820568789,37.408475177248064
55.73246432232903,37.42389947258839
55.71727804964206,37.42003237362587
55.71557775819369,37.44040543658027
55.677392564993184,37.44614075306152
55.673520454701226,37.473299745215655
55.71991153567624,37.51149194526492
55.72832593699354,37.48047956554768
55.72313500614155,37.4635776962633
55.72384315389735,37.56029450567648
55.781102222190924,37.512549674566024
55.780717119127594,37.46725775071426
55.79723877522737,37.488343738912185
55.80137874808761,37.491045702102426
55.80332968268524,37.46350956938238
55.79725811131079,37.40060639196868
55.80246886248095,37.39446217213998
55.72220534701026,37.57946659748603
55.729880175227684,37.58022459907771
55.73869188570952,37.59212229798258
55.756514183778386,37.56824224957191
55.765135702631724,37.60153010128331
55.789471965279446,37.637660853328036
55.74381581749967,37.646226125147855
55.72413256941746,37.62341925905391
55.71059026921792,37.612126508116035
55.70922125685887,37.639985857575724
55.70414522270418,37.67015706251528
55.713339874516365,37.67287828746257
55.66354575493835,37.52528379456645
55.633237499679765,37.47602003395024
55.64261316342042,37.502946550715926
55.63269348987775,37.509344992491776
55.606704301038896,37.517245877727945
55.59278951718807,37.53871044127197
55.59411332913503,37.540768408802734
55.61785848024962,37.58298265670002
55.70136911333165,37.60159470086393
55.70416455658951,37.67021158664242
55.684078509288334,37.68133898705516
55.63354257438189,37.66496419735327
55.62413662729365,37.66316143323107
55.58423595865826,37.67309275067544
55.607824757672645,37.738427936494105
55.65523418008693,37.750737269609594
55.67870961456607,37.769392168990706
55.680933364209594,37.76663330937701
55.71336939328584,37.789389494029756
55.73642977280503,37.86263043449572
55.79376805505179,37.780783792707574
55.819986781198956,37.863917686572066
55.81363812031455,37.94948563141478
55.77707973098332,37.892516045560505
55.768632684267416,37.84781925370351
55.76448890020075,37.92308256970291
55.73748395008711,37.863317073924264
55.65378293056116,37.947913498614014
55.65686337691244,37.95286509285946
55.662478698904316,37.92958987840568
55.68273714429967,37.92633758929409
55.9480741559753,37.86945904871725
55.91765557308447,37.85554491520773
55.908595317617724,37.85996989829843
55.91825306193944,37.841107273764585
55.90564169537342,37.71734050028983
55.883497542372346,37.69499452251374
55.82356248720864,37.58283958545675
55.88176264946185,37.56211405751891
55.82344215562603,37.58268637263989
55.81244635616416,37.56044108462588
55.80568612173916,37.54840505989786
55.82528484471682,37.52413223398778
55.846944491134686,37.51718544488349
55.85358986925596,37.50779027345959
55.848768324681075,37.43793626365459
55.890777804409296,37.43877226695508
55.8998864242411,37.41156433714912
55.94415043631326,37.51115687226634
55.88090767340969,37.42871985733293
55.97945375692804,37.168560382252316
56.01619674060164,37.48776163021017
55.55572535073937,37.70327190960266
55.545679146700856,37.715278659721996
55.540479381007664,37.727535762633735
55.567763142865495,37.582844258113504
55.55018818680276,37.55052851512127
55.53840693101573,37.57710491721369
55.54939763201212,37.529588327188236
55.54565392098935,37.522246172346485
55.53858283541655,37.539665342025316
55.54572256943375,37.522124748987345
55.539165645815345,37.52953162634816
55.532984878574624,37.527713780925076
55.43308147673206,37.562695760377544
55.42783720864316,37.52336666366684
55.43021098754198,37.518818379577866
55.4221743779832,37.48010663289833
55.36645122728074,37.534286498396035
55.35601540676226,37.522807104107024
55.67570358566937,37.04198518044023
55.66880221444567,37.28213194996586
55.675671169023595,37.04206344761099
