iter	Passed	Remaining
236	10687	34407
237	10732	34361
238	10778	34320
239	10822	34272
240	10869	34231
241	10915	34188
242	10959	34141
243	11005	34099
244	11048	34048
245	11096	34010
246	11140	33963
247	11188	33925
248	11233	33879
249	11277	33833
250	11324	33791
251	11369	33748
252	11415	33706
253	11459	33656
254	11506	33615
255	11551	33571
256	11598	33532
257	11643	33487
258	11688	33441
259	11735	33402
260	11778	33349
261	11824	33307
262	11877	33282
263	11923	33242
264	11970	33200
265	12014	33153
266	12058	33104
267	12105	33065
268	12152	33024
269	12199	32982
270	12244	32939
271	12289	32892
272	12334	32847
273	12380	32804
274	12428	32765
275	12471	32715
276	12515	32666
277	12558	32614
278	12602	32566
279	12646	32518
280	12694	32481
281	12739	32436
282	12781	32383
283	12824	32331
284	12867	32282
285	12911	32234
286	12956	32187
287	13000	32139
288	13044	32092
289	13088	32044
290	13131	31994
291	13175	31945
292	13218	31895
293	13260	31842
294	13304	31796
295	13348	31748
296	13391	31696
297	13434	31648
298	13478	31599
299	13522	31551
300	13565	31502
301	13613	31465
302	13659	31421
303	13707	31382
304	13754	31342
305	13804	31308
306	13851	31268
307	13899	31228
308	13947	31190
309	13997	31155
310	14053	31135
311	14106	31107
312	14159	31078
313	14210	31045
314	14262	31015
315	14310	30976
316	14355	30931
317	14402	30887
318	14446	30840
319	14489	30790
320	14533	30742
321	14577	30694
322	14625	30654
323	14669	30607
324	14717	30566
325	14762	30522
326	14812	30484
327	14857	30440
328	14901	30392
329	14947	30348
330	14998	30313
331	15043	30267
332	15092	30230
333	15139	30187
334	15184	30143
335	15228	30093
336	15272	30045
337	15316	29999
338	15364	29959
339	15410	29914
340	15457	29871
341	15504	29830
342	15553	29791
343	15601	29751
344	15648	29709
345	15700	29676
346	15750	29639
347	15801	29605
348	15849	29563
349	15899	29527
350	15948	29489
351	15999	29454
352	16045	29409
353	16092	29365
354	16138	29322
355	16184	29277
356	16229	29230
357	16275	29187
358	16323	29145
359	16371	29105
360	16423	29070
361	16473	29034
362	16522	28993
363	16570	28953
364	16618	28912
365	16664	28866
366	16708	28818
367	16753	28773
368	16799	28727
369	16849	28689
370	16895	28645
371	16943	28603
372	16993	28565
373	17042	28525
374	17091	28485
375	17138	28442
376	17182	28393
377	17230	28352
378	17274	28304
379	17324	28265
380	17371	28222
381	17419	28181
382	17464	28134
383	17514	28096
384	17561	28052
385	17612	28014
386	17657	27968
387	17705	27927
388	17748	27877
389	17795	27833
390	17843	27791
391	17888	27745
392	17934	27699
393	17981	27657
394	18029	27615
395	18073	27567
396	18122	27526
397	18167	27480
398	18212	27432
399	18259	27389
400	18303	27341
401	18327	27262
402	18371	27216
403	18418	27171
404	18464	27126
405	18510	27081
406	18556	27036
407	18599	26987
408	18611	26893
409	18658	26849
410	18704	26804
411	18750	26760
412	18796	26715
413	18841	26669
414	18886	26622
415	18933	26579
416	18982	26538
417	19027	26492
418	19071	26445
419	19117	26401
420	19164	26356
421	19209	26311
422	19256	26267
423	19300	26220
424	19346	26174
425	19392	26129
426	19439	26086
427	19483	26038
428	19527	25990
429	19573	25946
430	19585	25856
431	19633	25813
432	19675	25764
433	19721	25719
434	19770	25678
435	19816	25633
436	19866	25594
437	19912	25549
438	19959	25505
439	20007	25463
440	20055	25422
441	20101	25376
442	20150	25335
443	20197	25292
444	20245	25249
445	20291	25204
446	20339	25162
447	20384	25116
448	20431	25073
449	20477	25028
450	20525	24985
451	20570	24939
452	20617	24895
453	20665	24853
454	20711	24808
455	20759	24765
456	20808	24723
457	20852	24676
458	20898	24632
459	20944	24587
460	20991	24543
461	21034	24494
462	21080	24449
463	21125	24403
464	21169	24356
465	21216	24312
466	21258	24263
467	21307	24221
468	21354	24177
469	21399	24131
470	21449	24090
471	21499	24050
472	21544	24004
473	21593	23962
474	21641	23919
475	21687	23874
476	21731	23826
477	21778	23782
478	21824	23738
479	21872	23695
480	21925	23657
481	21984	23625
482	22031	23582
483	22077	23537
484	22130	23499
485	22180	23458
486	22227	23413
487	22279	23375
488	22325	23330
489	22372	23285
490	22418	23240
491	22465	23196
492	22512	23151
493	22560	23108
494	22602	23058
495	22647	23012
496	22692	22965
497	22733	22916
498	22777	22868
499	22819	22819
500	22863	22771
501	22908	22725
502	22952	22678
503	22997	22632
504	23041	22585
505	23087	22540
506	23134	22495
507	23180	22450
508	23205	22385
509	23253	22341
510	23296	22293
511	23341	22247
512	23388	22203
513	23435	22159
514	23481	22113
515	23526	22067
516	23574	22023
517	23617	21976
518	23661	21928
519	23706	21882
520	23753	21838
521	23800	21794
522	23851	21753
523	23899	21710
524	23944	21663
525	23995	21623
526	24041	21578
527	24090	21535
528	24136	21490
529	24181	21444
530	24231	21402
531	24277	21356
532	24322	21310
533	24366	21263
534	24410	21216
535	24456	21171
536	24502	21126
537	24546	21078
538	24591	21032
539	24636	20986
540	24681	20940
541	24724	20892
542	24729	20813
543	24771	20764
544	24814	20717
545	24857	20669
546	24901	20622
547	24945	20575
548	24956	20501
549	25001	20455
550	25044	20408
551	25089	20362
552	25136	20318
553	25178	20270
554	25223	20224
555	25269	20178
556	25309	20129
557	25354	20083
558	25398	20037
559	25410	19965
560	25453	19918
561	25497	19871
562	25539	19823
563	25582	19776
564	25626	19730
565	25671	19684
566	25716	19638
567	25759	19591
568	25802	19544
569	25846	19498
570	25891	19452
571	25935	19406
572	25978	19359
573	26002	19297
574	26014	19227
575	26056	19180
576	26100	19134
577	26145	19088
578	26149	19013
579	26153	18938
580	26195	18891
581	26206	18822
582	26249	18775
583	26293	18729
584	26336	18682
585	26379	18636
586	26384	18563
587	26425	18516
588	26467	18469
589	26472	18396
590	26477	18323
591	26519	18277
592	26564	18232
593	26605	18185
594	26648	18138
595	26691	18093
596	26736	18048
597	26780	18002
598	26822	17956
599	26865	17910
600	26907	17863
601	26952	17818
602	26995	17773
603	27037	17726
604	27082	17681
605	27126	17636
606	27168	17590
607	27212	17545
608	27259	17501
609	27304	17457
610	27350	17412
611	27395	17368
612	27438	17322
613	27480	17275
614	27522	17229
615	27566	17184
616	27611	17139
617	27654	17093
618	27699	17049
619	27742	17003
620	27786	16958
621	27830	16913
622	27874	16867
623	27917	16822
624	27962	16777
625	28004	16730
626	28049	16686
627	28095	16642
628	28139	16597
629	28181	16550
630	28224	16505
631	28268	16460
632	28313	16415
633	28356	16369
634	28399	16324
635	28442	16278
636	28486	16233
637	28529	16187
638	28572	16142
639	28616	16097
640	28660	16051
641	28703	16005
642	28747	15960
643	28795	15917
644	28838	15872
645	28881	15826
646	28924	15780
647	28966	15734
648	29010	15690
649	29053	15644
650	29100	15600
651	29142	15554
652	29185	15508
653	29228	15463
654	29270	15417
655	29314	15372
656	29362	15329
657	29411	15286
658	29462	15245
659	29508	15201
660	29553	15156
661	29598	15112
662	29641	15066
663	29688	15022
664	29733	14978
665	29781	14935
666	29825	14890
667	29868	14844
668	29912	14799
669	29955	14754
670	29999	14709
671	30044	14664
672	30090	14620
673	30137	14576
674	30182	14532
675	30189	14469
676	30231	14423
677	30275	14378
678	30319	14333
679	30364	14289
680	30407	14243
681	30449	14198
682	30493	14152
683	30537	14107
684	30579	14062
685	30622	14016
686	30665	13971
687	30709	13926
688	30752	13880
689	30795	13835
690	30838	13790
691	30882	13745
692	30926	13700
693	30969	13654
694	31012	13609
695	31057	13565
696	31099	13519
697	31142	13474
698	31185	13428
699	31227	13383
700	31272	13338
701	31314	13293
702	31357	13247
703	31401	13202
704	31445	13158
705	31489	13113
706	31532	13067
707	31574	13022
708	31616	12976
709	31659	12931
710	31703	12886
711	31747	12841
712	31791	12796
713	31834	12751
714	31878	12706
715	31921	12661
716	31964	12616
717	32005	12570
718	32048	12525
719	32090	12479
720	32135	12435
721	32178	12389
722	32222	12345
723	32266	12300
724	32311	12256
725	32356	12211
726	32399	12166
727	32442	12121
728	32486	12076
729	32530	12031
730	32573	11986
731	32616	11941
732	32658	11896
733	32701	11850
734	32741	11804
735	32784	11759
736	32827	11714
737	32870	11669
738	32915	11625
739	32957	11579
740	33001	11534
741	33044	11489
742	33087	11444
743	33131	11399
744	33175	11355
745	33218	11310
746	33263	11266
747	33307	11221
748	33352	11176
749	33400	11133
750	33444	11088
751	33489	11044
752	33534	10999
753	33579	10955
754	33630	10913
755	33675	10868
756	33723	10825
757	33770	10781
758	33814	10736
759	33863	10693
760	33909	10649
761	33956	10605
762	34003	10562
763	34049	10517
764	34097	10474
765	34144	10430
766	34189	10386
767	34238	10342
768	34287	10299
769	34334	10255
770	34382	10212
771	34428	10167
772	34472	10123
773	34516	10078
774	34558	10033
775	34600	9987
776	34645	9943
777	34689	9898
778	34731	9853
779	34776	9808
780	34819	9763
781	34863	9718
782	34908	9674
783	34952	9629
784	34997	9585
785	35042	9540
786	35089	9496
787	35131	9451
788	35176	9407
789	35221	9362
790	35265	9317
791	35306	9272
792	35352	9228
793	35396	9183
794	35436	9137
795	35480	9093
796	35524	9048
797	35568	9003
798	35611	8958
799	35653	8913
800	35695	8868
801	35738	8823
802	35781	8778
803	35824	8733
804	35868	8688
805	35913	8644
806	35958	8599
807	36002	8554
808	36045	8510
809	36089	8465
810	36132	8420
811	36175	8375
812	36219	8330
813	36262	8285
814	36304	8240
815	36346	8195
816	36392	8151
817	36433	8106
818	36477	8061
819	36522	8017
820	36565	7972
821	36608	7927
822	36651	7882
823	36697	7838
824	36743	7793
825	36786	7749
826	36831	7704
827	36874	7660
828	36919	7615
829	36962	7570
830	37007	7526
831	37051	7481
832	37095	7436
833	37139	7392
834	37181	7347
835	37225	7302
836	37268	7257
837	37313	7213
838	37357	7168
839	37401	7124
840	37443	7079
841	37485	7034
842	37527	6989
843	37570	6944
844	37613	6899
845	37657	6854
846	37701	6810
847	37744	6765
848	37788	6720
849	37833	6676
850	37877	6631
851	37922	6587
852	37967	6543
853	38011	6498
854	38054	6453
855	38100	6409
856	38143	6364
857	38186	6319
858	38230	6275
859	38273	6230
860	38317	6185
861	38360	6141
862	38406	6096
863	38449	6052
864	38492	6007
865	38536	5962
866	38581	5918
867	38624	5873
868	38667	5828
869	38710	5784
870	38754	5739
871	38798	5695
872	38843	5650
873	38885	5605
874	38929	5561
875	38972	5516
876	39015	5471
877	39060	5427
878	39104	5383
879	39148	5338
880	39190	5293
881	39233	5248
882	39277	5204
883	39321	5159
884	39366	5115
885	39411	5071
886	39454	5026
887	39497	4981
888	39542	4937
889	39585	4892
890	39628	4847
891	39672	4803
892	39717	4759
893	39762	4714
894	39808	4670
895	39851	4625
896	39897	4581
897	39940	4536
898	39987	4492
899	40030	4447
900	40074	4403
901	40116	4358
902	40160	4314
903	40205	4269
904	40249	4225
905	40292	4180
906	40336	4135
907	40380	4091
908	40423	4046
909	40465	4002
910	40512	3957
911	40556	3913
912	40601	3868
913	40642	3824
914	40688	3779
915	40741	3736
916	40790	3692
917	40837	3647
918	40882	3603
919	40924	3558
920	40969	3514
921	41015	3469
922	41060	3425
923	41104	3380
924	41146	3336
925	41189	3291
926	41232	3247
927	41274	3202
928	41318	3157
929	41361	3113
930	41404	3068
931	41447	3024
932	41490	2979
933	41535	2935
934	41578	2890
935	41620	2845
936	41663	2801
937	41708	2756
938	41751	2712
939	41794	2667
940	41836	2623
941	41879	2578
942	41925	2534
943	41968	2489
944	42009	2444
945	42052	2400
946	42096	2355
947	42140	2311
948	42182	2266
949	42225	2222
950	42268	2177
951	42314	2133
952	42356	2088
953	42398	2044
954	42443	1999
955	42487	1955
956	42532	1911
957	42575	1866
958	42621	1822
959	42663	1777
960	42706	1733
961	42749	1688
962	42791	1644
963	42834	1599
964	42878	1555
965	42924	1510
966	42968	1466
967	43011	1421
968	43056	1377
969	43100	1332
970	43142	1288
971	43189	1244
972	43232	1199
973	43276	1155
974	43320	1110
975	43363	1066
976	43407	1021
977	43450	977
978	43492	932
979	43535	888
980	43580	844
981	43627	799
982	43671	755
983	43713	710
984	43757	666
985	43801	621
986	43844	577
987	43888	533
988	43931	488
989	43975	444
990	44022	399
991	44069	355
992	44113	310
993	44157	266
994	44202	222
995	44246	177
996	44291	133
997	44334	88
998	44379	44
999	44422	0
